feat1,feat2,feat3,feat4,feat5,feat6,feat7,class
0.0006796674969692221,5.187745306985676e-08,2.2081569553317385e-12,7.943283403741378e-14,-1.24053325340214e-26,-9.078064336463762e-18,-3.0867592101892773e-26,A
0.0006729160857833148,1.4584329554574493e-08,3.846505790274829e-12,1.4556197072152548e-13,8.609264266236846e-26,1.4943491134761164e-17,-6.671944328518096e-26,A
0.0006821519644120465,5.3574151312412345e-08,5.591494297515545e-12,4.0098338099488577e-13,4.773482673407147e-25,6.048831183701098e-17,3.641978499104571e-25,A
0.0006741128761749945,3.402103196532138e-08,1.0764766077798023e-11,5.385037629213429e-13,3.380085082387069e-25,-3.1750017130189287e-18,-1.2517037542398129e-24,A
0.0006610254243602853,4.048987064327088e-08,5.263588967130069e-13,3.81162708199966e-14,5.3525169769779044e-27,6.933922618424975e-18,7.062992295614134e-28,A
0.0006728497217938066,2.4637326311013914e-08,9.32779598015023e-12,2.6918913935990807e-14,9.972406843642758e-27,-5.310695230155601e-19,9.083002036296744e-27,A
0.0006844824583818063,6.712753438488127e-08,4.534432179109953e-12,3.6594998004784945e-13,4.333930421626727e-25,7.374524899390471e-17,-1.854535096475833e-25,A
0.000662048017034757,3.9112995012976064e-08,3.1462834197082907e-12,1.8318816092493222e-13,1.3388480302764574e-25,3.253591726144224e-17,3.763449158923787e-26,A
0.0006821806218498064,5.9515517201556026e-08,9.119182455989109e-12,6.468763440639157e-13,1.3749150040028226e-24,1.2748738611244026e-16,-7.6028446416854e-25,A
0.0006838702744633833,4.958848761049432e-08,2.1264802992167756e-11,1.347733817533006e-12,5.298782503978226e-24,2.1104820627509902e-16,-4.8968619820296835e-24,A
0.0006630663684398833,1.0462679398400323e-08,3.342902863655024e-12,4.364713153512308e-14,-1.3283803657217737e-26,-4.403925080116171e-18,-1.0075021071826972e-26,A
0.000663583340884683,2.983102428669098e-08,1.4918342445907957e-12,2.7212767920391652e-14,5.411036770582187e-27,2.980982082014877e-18,-8.855081611598888e-28,A
0.000667227830526783,3.961180419621476e-08,4.334810384709955e-12,2.9629034050383646e-13,3.209352159439319e-25,5.87227885501107e-17,-9.87529931324992e-26,A
0.0007560155109025619,3.585522884254795e-08,4.333831748459773e-12,1.9214673367106928e-12,1.984042205739859e-25,2.291002193502891e-16,-5.541244698720379e-24,A
0.0006578112395727328,2.7770925800677968e-08,1.840043604757054e-12,2.850876450412355e-14,-4.331972342089263e-27,-3.604122296919372e-18,-4.8855628910995005e-27,A
0.0006537304443020124,1.3096285071503572e-08,4.168293354892731e-12,1.272083845547414e-14,-2.4086052948229463e-27,1.2617144493148553e-18,1.6670273286484286e-27,A
0.0006895624034403134,2.5035913171555408e-08,9.364051312127429e-12,6.368221747112755e-14,4.041486162585783e-26,6.3626798342464384e-18,-2.801757117940923e-26,A
0.0006687867192608326,5.050060803365461e-09,4.0039833926291176e-11,6.340704628602075e-14,1.0017343313446945e-25,1.2642786677598912e-18,1.3131688965208682e-26,A
0.0006602681749902067,1.2829085282291042e-08,9.268505365137992e-12,1.068426709268261e-13,1.0602764198139445e-25,9.297017594735826e-18,-7.902239021082557e-27,A
0.0007197332015506709,1.7268951496830595e-08,1.0384250237037156e-11,4.915450804443389e-13,6.938173010880828e-25,-2.777661561794963e-17,-8.671260250320405e-25,A
0.0006444170970267651,8.79264955843277e-09,6.181952821876543e-12,1.1322200437349349e-13,7.404159972673986e-26,6.28602188447168e-18,5.907994042438592e-26,A
0.0006670230161244383,3.8712920200970304e-08,3.0830313684466083e-12,1.2035372467686623e-13,5.895398319400408e-26,2.181567747234188e-17,-4.357931378785242e-26,A
0.000656307129279522,2.2412451722035803e-08,9.386320388753103e-12,7.344806964007412e-14,2.0564500110521057e-26,2.6297741471461384e-19,-5.741245512291677e-26,A
0.000646968124463182,4.1870493251199165e-09,3.0751035133527575e-12,8.418272603820172e-14,4.195095320969632e-26,3.702613404216543e-18,8.640827550961029e-27,A
0.0006738673014352987,3.812528122776816e-09,4.89493389072631e-11,5.538476273961824e-14,4.0924774234272953e-26,3.131102078364553e-18,8.14937118102141e-26,A
0.0006905816985318017,6.491319168994931e-08,8.22680318670901e-12,1.1635956783424066e-13,-9.782694883200673e-26,-2.886633983009546e-17,5.823104951317996e-26,A
0.0006503137489935044,1.1566371394614113e-08,3.040376093324949e-12,1.4707545513497598e-14,-6.5232888207355335e-28,1.5708420270709815e-18,3.0409162015487976e-27,A
0.0007189270120304654,1.3342535873825402e-08,3.488977010627697e-12,1.9418456980321975e-13,1.4133715709110633e-25,4.4274652445975625e-18,7.463877247220553e-26,A
0.0006686372665973817,4.0502507296265967e-08,9.268514663790708e-12,5.813132407567528e-13,1.2965143365089614e-24,1.0606603945347539e-16,-3.738457088245681e-25,A
0.0007352023165382777,3.961258398714002e-08,4.8368327820547125e-12,7.020755421592879e-13,3.0976579268960754e-25,1.1054947813737256e-16,-1.256136935921808e-24,A
0.0006707826539270531,3.1867655887983957e-08,8.85808638290074e-12,5.337791247605309e-14,-5.190875957016222e-27,-5.9155721548228074e-18,3.633499455309515e-26,A
0.0006804091121237704,1.9764677776056372e-08,7.505010913940272e-12,1.0077796731555722e-13,-8.057918565253392e-26,-1.4100132614438364e-17,3.447508618531753e-26,A
0.0006704716050373804,2.3615980563454046e-09,2.7632120310380847e-11,1.275945661677905e-13,-4.3836637452806844e-26,6.132542337485426e-18,2.355381035507901e-25,A
0.0006691373903734644,5.0095660377937933e-08,3.524830146786403e-12,2.603394037933832e-13,2.43547220991495e-25,5.311108647462438e-17,-5.366656833500984e-26,A
0.0006496681833731963,1.5561101380683876e-08,1.6390192601211178e-12,1.5540114702148773e-14,2.468606800501133e-27,1.2714040120817353e-18,2.3873518083488923e-28,A
0.0006673954880059767,3.646908585423715e-08,3.314816986847895e-12,3.264477671764332e-13,3.3538297160967774e-25,6.221467557011021e-17,-5.326544888150201e-26,A
0.000690231579152942,3.9960068961906983e-08,2.208333075177195e-11,6.713333101378584e-13,-6.893983722499557e-25,-6.497312180149105e-17,2.491246633877668e-24,A
0.0006730318592572679,4.333049102708988e-08,7.89557907321247e-12,5.568509376172296e-13,1.1232624066832141e-24,1.1033665659862059e-16,-3.18765009605976e-25,A
0.0006580274054078501,2.8419413022780002e-08,5.183282230855681e-12,2.759421846838951e-13,3.2593911229616503e-25,4.558408366676006e-17,5.168691244400269e-26,A
0.0006760553896208072,3.900278589903083e-08,1.669573607802868e-11,9.552487905101742e-13,2.463280487869564e-24,1.0696785014631297e-16,-2.9129596719413394e-24,A
0.0006681846874830389,3.988186796262792e-08,1.0521808517074378e-11,6.116697935598196e-13,1.45770041262401e-24,9.933688776787305e-17,-5.320022682580927e-25,A
0.0006691507715132381,1.923554023205357e-08,7.405109316324628e-12,4.1853965964914886e-14,1.4273970490227482e-27,-3.752663210459891e-18,2.3257028904886894e-26,A
0.0006711395444629207,2.2225146562933963e-08,4.626619504242896e-12,7.583248467426323e-14,-2.960156165890061e-26,-9.834042194955246e-18,3.3783462463350906e-26,A
0.0006838957644901243,6.909135724900272e-08,9.076001884294325e-13,1.3347863467136505e-14,1.1807919502300621e-27,2.8578472797446452e-18,8.741395733457702e-28,A
0.0006497791505484126,1.5807640640465927e-08,6.8309498493618184e-12,1.0757574609011355e-14,5.017399096835249e-28,-8.458190000801246e-20,-2.87267742412117e-27,A
0.0006513783117555471,1.262194795000906e-08,1.4092318873352462e-12,6.813046283769176e-14,3.769668148018864e-27,2.8227721931697873e-18,2.077143469946174e-26,A
0.0006687754307707288,4.740273295572327e-08,7.670883225495394e-12,1.5416760332643337e-13,9.95047226407461e-27,-9.945963282566282e-18,1.6735785274475493e-25,A
0.0006753118339042604,4.2774196627174276e-08,8.600268634543432e-12,8.326044793452168e-14,-3.333205186207408e-26,-1.3374972287692845e-17,6.207200662852863e-26,A
0.0007535566789107593,8.955184619865792e-09,1.6549350692746369e-12,1.2475952420008746e-12,1.1843129518218346e-24,-8.686834061685242e-17,-1.345763287148551e-24,A
0.0006526450754102012,8.479168359066144e-09,6.578332488642277e-12,1.2477018464038474e-13,1.0595196604157466e-25,5.398510635313255e-18,3.939227120430516e-26,A
0.00065425244071345,2.3407460462938307e-08,9.58245764191475e-12,9.604668423035112e-14,4.693021564527699e-26,2.378406111221009e-18,-7.929611871194343e-26,A
0.0006675283145779157,4.337858675017374e-09,3.474470813802341e-11,8.493678823166019e-14,1.0784706968604467e-25,3.2357566395773456e-18,9.828038761545398e-26,A
0.000668222850264806,4.940204353699868e-08,1.1631277822512452e-12,7.726217470827213e-14,1.9552795684372012e-26,9.970410966852182e-18,-1.2415188332110078e-26,A
0.0007243831372328447,1.1136181735331662e-07,5.617951847532837e-12,1.1169899855811514e-13,-8.408590420308308e-26,-3.204218588102173e-17,-2.7548380870447685e-26,A
0.0006599355014027858,2.903131679468034e-08,1.2484853598278426e-11,1.4065035625049587e-13,7.091674591594427e-26,4.9159881438984585e-18,-1.723627203151072e-25,A
0.0006811494076913488,3.257918680915262e-08,1.0042191940911983e-11,4.343125999069149e-13,5.567700890295691e-25,3.261146703266043e-17,-7.160281310367099e-25,A
0.0006923079727150388,6.279303245663235e-08,2.432849324191245e-11,1.7251853998060146e-12,8.538730178722517e-24,2.9206097223777847e-16,-7.211613642348195e-24,A
0.0006492667038173958,1.7844965922078975e-08,9.58963708061248e-12,2.2033357360011452e-13,3.287473690449804e-26,-2.6554180188094525e-18,3.185826186467432e-25,A
0.0006484318271093299,9.83158500871603e-09,6.181601099066172e-12,1.0398725950530674e-13,5.642766939330737e-26,5.88892983512343e-18,6.137445301274272e-26,A
0.0006798878561621622,3.6652259856089526e-08,3.0451986669017173e-12,3.041026280125842e-13,2.922683403501523e-25,5.750032755279676e-17,-1.4802604278972016e-26,A
0.0006502143088717326,1.201196381855694e-08,3.739387099201994e-12,9.049902816937205e-15,-6.926360482526135e-28,9.68476442911435e-19,1.5138908939846121e-27,A
0.000744177828763956,4.328306139312883e-08,4.866561281065351e-12,7.498710722412442e-13,1.1989519474066872e-24,1.4915467010690871e-16,-7.83923563856326e-25,A
0.0006635020026977479,3.9434466117029656e-08,6.061008503091962e-12,3.2261985306683347e-13,4.501576181015684e-25,6.377101643149201e-17,-2.9720446632771386e-26,A
0.0006558424498034647,2.5106342783411088e-08,1.0248678278329238e-11,1.0492723606266887e-13,3.559455745865228e-26,4.780169777430194e-19,-1.0282269011213108e-25,A
0.0006440706432768788,1.1098720871146806e-08,6.50204919108442e-12,1.3841486487295135e-13,7.633525662468386e-26,5.1786221124747035e-18,1.068426775370806e-25,A
